Category,Region,Age,Gender,Month,Price,Quantity,Revenue,Rating,Discount_Pct,Delivery_Days,Returned,Payment_Method
Clothing,East,60,Male,8,40.95,3,122.85,3.2,10,8,0,Debit Card
Beauty,North,64,Male,12,65.92,2,131.84,5.0,10,2,0,COD
Books,North,48,Female,2,30.42,1,30.42,3.8,30,8,1,COD
Home & Kitchen,South,44,Female,7,159.23,1,159.23,4.1,0,1,0,Credit Card
Electronics,South,28,Male,3,475.39,2,950.78,3.1,10,1,0,Credit Card
Electronics,East,55,Female,1,431.36,1,431.36,4.6,15,4,0,UPI
Electronics,East,22,Female,8,454.66,5,2273.3,4.1,30,7,0,Debit Card
Sports,South,25,Male,4,120.75,1,120.75,3.9,0,9,0,Debit Card
Home & Kitchen,North,51,Male,8,180.45,3,541.35,4.0,5,5,0,Credit Card
Books,West,29,Male,2,36.82,1,36.82,4.5,5,2,0,COD
Electronics,South,55,Male,5,575.24,1,575.24,4.3,0,7,0,Debit Card
Beauty,South,18,Male,10,37.23,4,148.92,3.8,15,2,0,Net Banking
Sports,North,48,Male,6,91.92,1,91.92,3.5,15,9,0,UPI
Electronics,East,21,Male,8,608.07,1,608.07,3.9,15,9,0,UPI
Electronics,East,62,Female,9,376.57,1,376.57,4.2,0,3,0,COD
Electronics,North,22,Female,11,262.45,2,524.9,3.9,0,8,0,Debit Card
Clothing,North,47,Female,5,79.98,1,79.98,4.2,5,4,0,Net Banking
Home & Kitchen,East,41,Male,9,87.77,2,175.54,4.1,5,3,0,COD
Clothing,East,20,Female,12,54.82,2,109.64,3.7,20,1,0,Debit Card
Clothing,North,28,Female,10,116.87,2,233.74,2.9,0,5,0,UPI
Home & Kitchen,West,62,Female,7,149.96,2,299.92,3.5,0,4,0,Credit Card
Electronics,North,21,Male,8,329.3,2,658.6,4.8,10,1,0,Credit Card
Clothing,South,43,Female,10,116.59,1,116.59,4.0,10,8,0,Credit Card
Clothing,West,44,Male,8,114.39,3,343.17,3.5,10,8,0,Credit Card
Clothing,South,63,Male,1,73.38,1,73.38,3.9,20,8,1,Credit Card
Books,East,60,Female,4,22.81,2,45.62,4.5,0,3,0,UPI
Electronics,South,44,Female,10,562.13,1,562.13,3.6,15,6,0,UPI
Home & Kitchen,North,59,Male,5,175.05,3,525.15,4.4,5,7,0,UPI
Home & Kitchen,West,23,Female,10,170.92,1,170.92,4.0,5,9,0,Credit Card
Electronics,South,32,Female,6,585.11,1,585.11,3.4,25,5,0,Credit Card
Home & Kitchen,West,47,Male,7,171.28,2,342.56,4.2,5,9,0,Debit Card
Electronics,North,59,Female,2,329.2,2,658.4,3.7,15,6,0,UPI
Electronics,North,54,Male,3,501.42,1,501.42,3.8,5,4,0,UPI
Beauty,North,54,Female,12,43.51,2,87.02,3.6,10,1,0,Debit Card
Beauty,East,59,Male,11,68.0,2,136.0,4.4,20,1,0,Net Banking
Sports,South,54,Male,9,114.21,5,571.05,3.7,25,5,1,UPI
Clothing,West,52,Female,7,45.04,2,90.08,4.1,20,3,0,Debit Card
Electronics,South,40,Female,9,425.39,1,425.39,3.6,15,5,0,COD
Books,West,23,Female,8,25.3,1,25.3,3.9,5,5,0,Net Banking
Clothing,North,21,Female,8,64.63,3,193.89,3.4,15,1,0,UPI
Electronics,West,35,Female,1,462.95,3,1388.85,4.1,15,8,0,Debit Card
Home & Kitchen,East,26,Female,8,118.41,1,118.41,3.5,0,5,0,Credit Card
Electronics,East,46,Female,10,536.3,1,536.3,3.8,10,5,0,UPI
Sports,West,30,Female,12,58.22,2,116.44,3.5,20,9,0,COD
Clothing,East,64,Male,1,90.51,1,90.51,4.0,10,8,0,UPI
Home & Kitchen,East,34,Female,10,188.52,1,188.52,2.9,5,1,0,COD
Clothing,North,62,Male,8,91.48,1,91.48,3.9,20,3,0,UPI
Home & Kitchen,North,49,Female,6,143.6,1,143.6,4.7,0,7,0,COD
Home & Kitchen,West,39,Female,3,208.84,1,208.84,4.4,5,1,0,UPI
Electronics,East,21,Female,6,335.97,2,671.94,3.6,15,1,0,Credit Card
Beauty,East,22,Female,6,28.04,1,28.04,4.3,10,5,0,Debit Card
Books,South,54,Female,5,27.96,1,27.96,4.4,15,9,0,Credit Card
Beauty,North,58,Male,10,28.78,1,28.78,4.8,0,6,0,Credit Card
Sports,North,30,Female,9,148.3,2,296.6,2.5,5,2,0,Net Banking
Home & Kitchen,East,51,Male,8,102.23,1,102.23,4.4,0,9,0,Credit Card
Beauty,South,62,Male,12,69.6,2,139.2,4.0,25,6,0,Net Banking
Electronics,North,39,Male,5,535.32,2,1070.64,3.5,10,5,1,Credit Card
Electronics,South,40,Female,4,301.45,1,301.45,3.5,5,5,0,Credit Card
Electronics,North,20,Male,9,470.92,1,470.92,3.3,0,3,0,COD
Clothing,East,59,Female,4,42.75,1,42.75,3.5,0,6,0,UPI
Clothing,North,51,Male,5,76.72,2,153.44,3.3,10,4,0,Debit Card
Clothing,East,49,Male,4,40.14,3,120.42,3.9,0,2,0,Debit Card
Sports,South,62,Male,2,144.96,1,144.96,4.1,10,3,1,UPI
Clothing,South,38,Male,10,115.13,4,460.52,3.7,10,9,0,COD
Clothing,North,63,Female,4,56.34,1,56.34,4.5,20,9,0,Debit Card
Home & Kitchen,North,61,Male,7,101.97,3,305.91,3.5,15,6,0,UPI
Electronics,South,38,Male,1,526.56,2,1053.12,3.7,10,9,0,Net Banking
Sports,South,61,Male,9,76.84,2,153.68,3.6,5,4,0,Credit Card
Electronics,East,28,Male,5,585.93,2,1171.86,4.2,15,5,0,UPI
Beauty,South,56,Male,10,57.99,2,115.98,4.4,15,6,0,COD
